Time,CO,rh,MOS
70140,0.551500023,34.331872,0.655647869
70170,0.550945342,34.03916505,0.655024758
70200,0.549889462,33.71167748,0.654158685
70230,0.548781285,33.55652677,0.654175485
70260,0.549264446,33.43954239,0.654127446
70290,0.550997615,34.0041445,0.653558923
70320,0.552085967,34.47376192,0.653681025
70350,0.553355785,34.61789483,0.654527677
70380,0.555007223,34.58161975,0.656564931
70410,0.556170692,34.52308345,0.6583546
70440,0.555817338,34.48241658,0.658087754
70470,0.555070333,34.43574658,0.6574349
70500,0.556132231,34.41204624,0.656488015
70530,0.555091167,34.39422819,0.655000025
70560,0.552670708,34.36275647,0.653592585
70590,0.5512861,34.33863492,0.652941162
70620,0.551048115,34.32284379,0.651430315
70650,0.548117217,34.31143541,0.650585983
70680,0.549947146,34.25383694,0.650316138
70710,0.548237992,34.04626692,0.649012069
70740,0.549079354,33.86527917,0.649680308
70770,0.548600977,34.27281473,0.650126231
70800,0.5507356,34.37029712,0.651506038
70830,0.552106792,34.37441053,0.652834667
70860,0.553528862,34.35890778,0.652842577
70890,0.552620223,34.34442404,0.651330538
70920,0.553120223,34.32627715,0.652125038
70950,0.553294283,34.30572165,0.652049517
70980,0.551793269,34.30874039,0.651830554
71010,0.5513021,34.30994768,0.651243533
71040,0.550137046,34.29809965,0.650638262
71070,0.550963977,34.28747594,0.650219977
71100,0.549519246,34.05682851,0.6496671
71130,0.548187531,33.42453835,0.6493005
71160,0.54745575,33.41332382,0.648324258
71190,0.551139454,34.0859339,0.649425508
71220,0.552538492,34.47188641,0.651930315
71250,0.5534904,34.49424866,0.655548108
71280,0.556144269,34.46007798,0.658474792
71310,0.558708358,34.41831706,0.659496133
71340,0.5584832,34.3912651,0.660313746
71370,0.55938285,34.36819514,0.661135433
71400,0.558350977,34.36083297,0.661562523
71430,0.558221185,34.34644557,0.661431531
71460,0.558680323,34.33085095,0.661900269
71490,0.557286085,34.3163457,0.662521662
71520,0.556656283,34.20357182,0.662671908
71550,0.556060131,33.83086212,0.662932708
71580,0.5556779,33.39697134,0.663479592
71610,0.557300485,33.28376789,0.663962754
71640,0.557838962,33.9067609,0.664407477
71670,0.559231792,34.42671693,0.666406283
71700,0.561829346,34.5425615,0.670491608
71730,0.5633582,34.49669661,0.673996415
71760,0.564867183,34.43976565,0.675204467
71790,0.564552908,34.39884864,0.675293308
71820,0.565055308,34.37200644,0.676688738
71850,0.567742233,34.3524724,0.6778464
71880,0.567947154,34.37403175,0.678433923
71910,0.569151454,34.36790655,0.678299315
71940,0.570134623,34.37022337,0.677697162
71970,0.569834138,34.3681254,0.677331769
72000,0.5699818,34.35323222,0.67713025
72030,0.571375015,34.34411287,0.678042092
72060,0.5716106,34.33725092,0.678418308
72090,0.571324538,34.32042701,0.677300515
72120,0.570488,34.29172144,0.6757296
72150,0.569432317,34.27813657,0.675552931
72180,0.570908867,34.20456892,0.674399173
72210,0.568276469,34.12858832,0.674115415
72240,0.566600992,34.09861602,0.673497608
72270,0.5656106,33.73435579,0.6719868
72300,0.5641755,33.23399966,0.670549315
72330,0.564174517,33.20274701,0.669424517
72360,0.564454354,33.69911226,0.668926715
72390,0.565134646,34.25770504,0.669322138
72420,0.565254808,34.55241087,0.669426708
72450,0.564120215,34.62981132,0.668441146
72480,0.563608208,34.58697027,0.668307723
72510,0.564679725,34.5237657,0.667704467
72540,0.562175492,34.46698225,0.666757231
72570,0.559442354,34.43107473,0.665010854
72600,0.558729192,34.39288454,0.663438825
72630,0.556764438,34.37015298,0.662361808
72660,0.554456762,34.31701189,0.6612296
72690,0.553885417,33.9768051,0.660316442
72720,0.552475969,33.84004586,0.659000038
72750,0.551995208,33.94930158,0.659537285
72780,0.552201954,34.17611446,0.660201977
72810,0.552468777,34.41035069,0.659740438
72840,0.552635458,34.46031082,0.660852908
72870,0.553432723,34.43055821,0.662201946
72900,0.552997631,34.38248021,0.663330562
72930,0.553766846,34.33863063,0.664397869
72960,0.554475962,34.31673797,0.664915892
72990,0.553846177,34.28796174,0.665300492
73020,0.552494817,34.27808838,0.66565235
73050,0.55201565,34.27265511,0.665500025
73080,0.552149069,34.25122139,0.665508438
73110,0.549911085,34.21518736,0.665498815
73140,0.549028846,34.08853053,0.666211562
73170,0.548264438,33.807406,0.667247631
73200,0.548718783,34.11074131,0.667994825
73230,0.549721177,34.35598992,0.669390654
73260,0.552182715,34.35633602,0.672173092
73290,0.552454362,34.30573747,0.675579362
73320,0.555031262,34.27051532,0.678676723
73350,0.556822917,34.2246073,0.681016958
73380,0.557490408,34.19621462,0.682038508
73410,0.557225992,34.19058036,0.682982015
73440,0.55846095,34.18026203,0.683015658
73470,0.556213977,34.16638644,0.683673108
73500,0.555103392,34.15678638,0.684784885
73530,0.553882842,34.08448282,0.68581905
73560,0.553401469,33.93211889,0.6867801
73590,0.552283669,33.72359469,0.686890677
73620,0.551875031,33.77180597,0.686852208
73650,0.552658669,34.08121622,0.686770469
73680,0.554182708,34.2053785,0.688150277
73710,0.555320333,34.20095003,0.688871133
73740,0.555988008,34.17486616,0.690290892
73770,0.557490415,34.1422454,0.691260885
73800,0.555949546,34.12105419,0.691351
73830,0.5567933,34.1047557,0.690735615
73860,0.554572925,34.09224209,0.6902214
73890,0.55433335,34.08617697,0.690071642
73920,0.553572138,34.07297237,0.688564923
73950,0.553322146,34.05856345,0.687985608
73980,0.552569723,33.80057249,0.687371446
74010,0.5514856,33.34310284,0.686128646
74040,0.549817733,33.24256071,0.686919292
74070,0.551408692,33.89226532,0.686716377
74100,0.554872608,34.2326604,0.689504823
74130,0.556197123,34.24602236,0.692375038
74160,0.557447123,34.18787599,0.693217592
74190,0.5561719,34.1416948,0.6927253
74220,0.557826946,34.11930421,0.693510846
74250,0.559728392,34.09807872,0.693256038
74280,0.559841175,34.09340541,0.69376305
74310,0.560233185,34.09487288,0.694090185
74340,0.559120208,34.07375769,0.693777685
74370,0.559932317,34.06170865,0.69395445
74400,0.557973585,34.05163219,0.693036077
74430,0.556146662,34.04168591,0.692597385
74460,0.555978385,33.92154327,0.693341385
74490,0.553764454,33.62706226,0.694802908
74520,0.5531803,33.60194412,0.695704354
74550,0.556554708,34.11337891,0.697089875
74580,0.555971177,34.20560709,0.699974777
74610,0.558355808,34.17199634,0.703938746
74640,0.558918292,34.12553846,0.707106992
74670,0.560514462,34.10146122,0.709713969
74700,0.559869825,34.08168466,0.7111068
74730,0.558682308,34.05716677,0.711996125
74760,0.557903877,34.03929651,0.712629831
74790,0.556769254,34.04321514,0.714405077
74820,0.556084162,34.04275084,0.715917115
74850,0.555180315,34.03740081,0.716472385
74880,0.554864625,34.02872154,0.7171693
74880,0.554864625,34.02872154,0.7171693
74910,0.554355792,34.01215675,0.716969985
74940,0.555057731,33.97305896,0.717647869
74970,0.552588969,33.82762312,0.718164692
75000,0.552959169,33.86002515,0.718496431
75030,0.554513033,33.97870687,0.718385458
75060,0.554601,34.01609227,0.719009646
75090,0.555538508,34.01220308,0.719164685
75120,0.556614608,34.01419433,0.719713567
75150,0.559076962,34.00097787,0.719875023
75180,0.559346169,33.987322,0.719015623
75210,0.559819746,33.97189459,0.717730785
75240,0.558528683,33.94828477,0.716237008
75270,0.557461577,33.9486277,0.715304108
75300,0.557658669,33.94602818,0.7146707
75330,0.557805323,33.81813629,0.714956777
75360,0.558276454,33.36019644,0.716290908
75390,0.558747433,32.97287194,0.717615933
75420,0.5592909,33.06438235,0.718294508
75450,0.562389431,33.73640674,0.718135838
75480,0.566709169,34.13204194,0.718703146
75510,0.5681823,34.13690431,0.720063833
75540,0.571139431,34.08406216,0.721914692
75570,0.5732344,34.05332619,0.723455783
75600,0.574367808,34.02190936,0.7245361
75630,0.576887046,34.00098162,0.724975992
75660,0.576826954,33.99862506,0.724810123
75690,0.575685131,33.99212942,0.724270469
75720,0.575398442,33.97336008,0.723755242
75750,0.5746707,33.97173024,0.722556538
75780,0.573798092,33.96541428,0.720854585
75810,0.573682738,33.96217077,0.7191695
75840,0.571603385,33.95564527,0.717933915
75870,0.571762054,33.93931637,0.717104608
75900,0.571640667,33.91801008,0.716183625
75930,0.570721392,33.61575507,0.716065133
75960,0.5708654,33.28321514,0.714543315
75990,0.570528877,33.45302745,0.713711577
76020,0.573593762,34.02578118,0.713576946
76050,0.574240415,34.15444518,0.713753638
76080,0.57375785,34.10368393,0.715324242
76110,0.576887031,34.05590692,0.717673092
76140,0.578173085,34.03559757,0.718782485
76170,0.5802981,34.02428987,0.718590169
76200,0.580663485,34.00004714,0.7191671
76230,0.581171908,33.99926072,0.71907685
76260,0.581622638,33.99702635,0.718067331
76290,0.582074546,33.99135897,0.716838969
76320,0.580379838,33.98019064,0.715078154
76350,0.578440133,33.96971051,0.713365933
76380,0.578009638,33.95875772,0.711846177
76410,0.579075542,33.96602348,0.711304725
76440,0.576870208,33.9540768,0.710046908
76470,0.576331754,33.95306329,0.708531285
76500,0.576259631,33.8790143,0.707775277
76530,0.574908669,33.51422993,0.707998808
76560,0.574424508,33.28402601,0.708444042
76590,0.575562538,33.78660145,0.707729608
76620,0.577670685,34.20260783,0.707994031
76650,0.577685115,34.21656338,0.710121415
76680,0.580572131,34.15815915,0.711494015
76710,0.582456754,34.11030124,0.712336569
76740,0.582828158,34.09575119,0.711597675
76770,0.583724008,34.08181983,0.710852892
76800,0.581846177,34.07465475,0.7098522
76830,0.579312515,34.07531887,0.708111815
76860,0.579413492,34.07428911,0.706225992
76890,0.577805323,34.06028872,0.704956769
76920,0.5764141,34.04412747,0.703833358
76950,0.575084169,34.02360527,0.702650269
76980,0.575399062,33.78797142,0.701759638
77010,0.573704362,33.71696269,0.700522877
77040,0.574966369,33.85768669,0.699948346
77070,0.57407295,34.05010915,0.700243517
77100,0.575757223,34.09326081,0.700520462
77130,0.575396662,34.05151826,0.7001719
77160,0.576069738,34.02065954,0.699890646
77190,0.57701565,34.00628627,0.699944058
77220,0.576762054,33.99917619,0.699944754
77250,0.576252608,33.98565583,0.699907583
77280,0.575826954,33.96470641,0.700469992
77310,0.574447154,33.9635726,0.700013269
77340,0.575514454,33.95748867,0.698963985
77370,0.573692323,33.89226093,0.699316131
77400,0.574805331,33.66684908,0.699365415
77430,0.5718099,33.52727364,0.698901075
77460,0.572504838,33.99976954,0.699018069
77490,0.574605792,34.08640617,0.700050523
77520,0.576783677,34.06515967,0.7025445
77550,0.579276462,34.03239658,0.702717592
77580,0.579174492,34.01323986,0.70144665
77610,0.576153683,34.00671714,0.699355517
77640,0.575175515,33.99500253,0.697950754
77670,0.574461577,33.93484651,0.696304115
77700,0.573389446,33.93749318,0.695004838
77730,0.573040885,33.96104469,0.694927915
77760,0.572921883,33.95775938,0.695033875
77790,0.570764431,33.94844397,0.695182715
77820,0.571442323,33.94419843,0.694715185
77850,0.571435108,33.94004994,0.694382246
77880,0.571841362,33.94558419,0.694407477
77910,0.571580767,33.9566775,0.694118525
77940,0.570000031,33.95344252,0.694670723
77970,0.569367823,33.94754729,0.694838962
78000,0.569776485,33.93943068,0.695200746
78030,0.568557715,33.9480083,0.695019246
78060,0.567382825,33.9434407,0.694418
78090,0.5667448,33.96087498,0.693056017
78120,0.565151469,33.9560556,0.691358215
78150,0.563747608,33.74220542,0.690319754
78180,0.563019254,33.39847474,0.689912277
78210,0.564240423,33.26871397,0.689316138
78240,0.564463946,33.72859921,0.689270469
78270,0.564398458,34.00706583,0.689755233
78300,0.565771654,34.05531341,0.690604615
78330,0.567752415,34.03894815,0.692810131
78360,0.569750046,34.01885605,0.692062538
78390,0.570543292,34.01003126,0.691151477
78420,0.567695342,34.01149108,0.689511742
78450,0.56814845,34.00844242,0.688199242
78480,0.566461562,34.01418335,0.687526485
78510,0.567225985,34.00486949,0.686332954
78540,0.565326946,34.00921831,0.684899069
78570,0.564048108,34.01280141,0.683843777
78600,0.563841158,34.00116676,0.683226617
78630,0.561961577,33.99492241,0.683816138
78660,0.561776485,33.97865981,0.6855409
78690,0.561180315,33.96509496,0.686318546
78720,0.560677931,33.76928069,0.688211554
78750,0.559591377,33.52632678,0.690799323
78780,0.559710983,33.74569122,0.691733108
78810,0.562247615,34.08857868,0.693950754
78840,0.5641731,34.11002016,0.6966695
78870,0.566023458,34.07920808,0.6989141
78900,0.566418292,34.04452815,0.699808923
78930,0.565390633,34.02321008,0.700365925
78960,0.566093777,34.02219227,0.701564938
78990,0.566055323,34.00948734,0.701859385
79020,0.565310115,33.99054767,0.701373838
79050,0.564538492,33.99014017,0.701765662
79080,0.564151446,33.97884482,0.701639469
79110,0.563854192,33.96810995,0.701494825
79140,0.563588954,33.95863882,0.701412292
79170,0.563401462,33.92415024,0.702063731
79200,0.563526462,33.75906633,0.703108215
79230,0.564336554,33.55630671,0.703969985
79260,0.565794292,33.73950769,0.704501333
79290,0.567820342,33.99710538,0.704477892
79320,0.568055308,34.01203331,0.705722392
79350,0.570588969,33.97801267,0.707572146
79380,0.571658692,33.95273255,0.709482023
79410,0.573939938,33.95398943,0.710899085
